,Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Notes,Date,Time
0,0.3000575140895653,7335,0.2655863017651945,2446,26.42082643111547:00,"data standardization + classifier (1280,256,1)",20/05/2022,01:30 PM
0,0.32499070395642526,7335,0.4230714756526161,2446,28.258678074677785:00,"data standardization + classifier (1280,256,1)",20/05/2022,04:19 PM
0,0.3169879737248531,7335,0.2799456094881673,2446,28.228826053937276:00,"data standardization + classifier (1280,256,1)",20/05/2022,04:47 PM
0,0.3017630412133478,7335,0.31326151797242857,2446,28.328059959411622:00,"data standardization + classifier (1280,256,1)",20/05/2022,05:16 PM
0,0.2920010977046946,7335,0.29396517834924935,2446,27.766055647532145:00,"data standardization + classifier (1280,256,1)",20/05/2022,05:44 PM
0,0.2879344110476804,7335,0.2656373784042368,2446,27.69523451725642:00,"data standardization + classifier (1280,256,1)",20/05/2022,06:11 PM
0,0.27570621767846315,7335,0.29436261348648324,2446,28.11909115711848:00,"data standardization + classifier (1280,256,1)",20/05/2022,06:39 PM
0,0.2669655683915745,7335,0.29047246774728785,2446,28.000894403457643:00,"data standardization + classifier (1280,256,1)",20/05/2022,07:07 PM
0,0.26438636703635093,7335,0.28320936671172275,2446,27.89895500342051:00,"data standardization + classifier (1280,256,1)",20/05/2022,07:35 PM
0,0.2582223138029179,7335,0.2746932852818997,2446,28.25918880303701:00,"data standardization + classifier (1280,256,1)",20/05/2022,08:04 PM
0,0.25666115696801617,7335,0.29870266361413517,2446,27.97193836371104:00,"data standardization + classifier (1280,256,1)",20/05/2022,08:31 PM
0,0.2519934243629874,7335,0.278242147058962,2446,28.483279852072396:00,"data standardization + classifier (1280,256,1)",20/05/2022,09:00 PM
0,0.24762396132694106,7335,0.2826224911854786,2446,28.237773470083873:00,"data standardization + classifier (1280,256,1)",20/05/2022,09:28 PM
0,0.24023815088393707,7335,0.29381723318391995,2446,28.204911303520202:00,"data standardization + classifier (1280,256,1)",20/05/2022,09:56 PM
0,0.23712507775421593,7335,0.29192381922310207,2446,28.007672437032063:00,"data standardization + classifier (1280,256,1)",20/05/2022,10:24 PM
0,0.2415551462494492,7335,0.2971180072532622,2446,27.883221292495726:00,"data standardization + classifier (1280,256,1)",20/05/2022,10:52 PM
0,0.23148834080090613,7335,0.29449922124781963,2446,27.82970852057139:00,"data standardization + classifier (1280,256,1)",20/05/2022,11:20 PM
0,0.22950536396840732,7335,0.2634061256975055,2446,27.706763899326326:00,"data standardization + classifier (1280,256,1)",20/05/2022,11:48 PM
0,0.22521933375060402,7335,0.3037430309719551,2446,27.686566909154255:00,"data standardization + classifier (1280,256,1)",21/05/2022,12:16 AM
0,0.2266230438607215,7335,0.28056859653079536,2446,27.676170043150584:00,"data standardization + classifier (1280,256,1)",21/05/2022,12:43 AM
0,0.2105034782010497,7335,0.2639063588314508,2446,27.6859920501709:00,"data standardization + classifier (1280,256,1)",21/05/2022,01:11 AM
0,0.21458670110771866,7335,0.28354724988611407,2446,27.696958593527476:00,"data standardization + classifier (1280,256,1)",21/05/2022,01:39 AM
0,0.20508585538272198,7335,0.29030577579301875,2446,27.693926918506623:00,"data standardization + classifier (1280,256,1)",21/05/2022,02:06 AM
0,0.1993844176666721,7335,0.2829594274100752,2446,27.684945511817933:00,"data standardization + classifier (1280,256,1)",21/05/2022,02:34 AM
0,0.19655576856961143,7335,0.29239621705566193,2446,27.67993263800939:00,"data standardization + classifier (1280,256,1)",21/05/2022,03:02 AM
0,0.1934580735751474,7335,0.323348698437897,2446,27.673270658651987:00,"data standardization + classifier (1280,256,1)",21/05/2022,03:29 AM
0,0.1947742666410512,7335,0.326783840085388,2446,27.659824295838675:00,"data standardization + classifier (1280,256,1)",21/05/2022,03:57 AM
0,0.18127594620682014,7335,0.2925331088108685,2446,27.666944416364036:00,"data standardization + classifier (1280,256,1)",21/05/2022,04:25 AM
0,0.18203488446848043,7335,0.3512245729632441,2446,27.67653293609619:00,"data standardization + classifier (1280,256,1)",21/05/2022,04:52 AM
0,0.17717746675857296,7335,0.2779972588244275,2446,27.815993003050487:00,"data standardization + classifier (1280,256,1)",21/05/2022,05:20 AM
0,0.16970533734804,7335,0.30684667769988844,2446,27.69116702477137:00,"data standardization + classifier (1280,256,1)",21/05/2022,05:48 AM
0,0.16737525211529705,7335,0.2839811991341825,2446,27.683776013056438:00,"data standardization + classifier (1280,256,1)",21/05/2022,06:16 AM
0,0.16677320726872036,7335,0.2956271743319266,2446,27.677078628540038:00,"data standardization + classifier (1280,256,1)",21/05/2022,06:43 AM
0,0.15823656952714238,7335,0.3733997654544471,2446,27.671606516838075:00,"data standardization + classifier (1280,256,1)",21/05/2022,07:11 AM
0,0.15257024264024643,7335,0.4384222587753198,2446,27.680185584227242:00,"data standardization + classifier (1280,256,1)",21/05/2022,07:39 AM
0,0.14805077099137984,7335,0.3970724162204545,2446,27.6753186305364:00,"data standardization + classifier (1280,256,1)",21/05/2022,08:06 AM
0,0.15009363833576791,7335,0.2960325243226897,2446,27.666484681765237:00,"data standardization + classifier (1280,256,1)",21/05/2022,08:34 AM
0,0.14059983846709184,7335,0.40888899367022374,2446,27.680960742632546:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:02 AM
0,0.14131216015440262,7335,0.3549421596409257,2446,27.67723754644394:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:29 AM
0,0.13722331687822167,7335,0.4472135131759718,2446,27.66564408540726:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:57 AM
0,0.1356154727533021,7335,0.366116537949335,2446,27.90628093481064:00,"data standardization + classifier (1280,256,1)",21/05/2022,10:25 AM
0,0.11966769061206232,7335,0.4314924085740187,2446,27.688029682636262:00,"data standardization + classifier (1280,256,1)",21/05/2022,10:52 AM
0,0.12679142121614898,7335,0.3718176883289519,2446,27.699084961414336:00,"data standardization + classifier (1280,256,1)",21/05/2022,11:20 AM
0,0.12192805467280156,7335,0.43235680704642787,2446,27.727099426587422:00,"data standardization + classifier (1280,256,1)",21/05/2022,11:48 AM
0,0.12206390951756145,7335,0.34135567829189645,2446,27.553916680812836:00,"data standardization + classifier (1280,256,1)",21/05/2022,12:15 PM
0,0.11288825903842972,7335,0.36524787917382184,2446,27.697022040685017:00,"data standardization + classifier (1280,256,1)",21/05/2022,12:43 PM
0,0.11884927429375348,7335,0.3604369172066153,2446,102.00232036511103:00,"data standardization + classifier (1280,256,1)",21/05/2022,02:25 PM
0,0.11027883791374739,7335,0.32867908277832375,2446,402.89752440452577:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:08 PM
0,0.10728223793585284,7335,376.4384283523733,2446,402.89752440452577:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:37 PM
0,0.10728223793585284,7335,376.4384283523733,2446,402.89752440452577:00,"data standardization + classifier (1280,256,1)",21/05/2022,09:37 PM
0,,7328,,2443,6.097211976846059:00,,24/05/2022,04:32 AM
0,,7328,,2443,6.017743655045828:00,,24/05/2022,04:38 AM
0,,7328,,2443,6.021463779608409:00,,24/05/2022,04:44 AM
0,,7328,,2443,6.024849939346313:00,,24/05/2022,04:50 AM
0,,7328,,2443,6.151407408714294:00,,24/05/2022,04:56 AM
0,,7328,,2443,6.0033565600713095:00,,24/05/2022,05:02 AM
0,,7328,,2443,5.983883388837179:00,,24/05/2022,05:08 AM
0,,7328,,2443,6.021349136034647:00,,24/05/2022,05:14 AM
0,,7328,,2443,6.025310532251994:00,,24/05/2022,05:20 AM
0,,7328,,2443,6.016159637769063:00,,24/05/2022,05:26 AM
0,,7328,,2443,6.007876412073771:00,,24/05/2022,05:32 AM
0,,7328,,2443,5.99202649195989:00,,24/05/2022,05:38 AM
0,,7328,,2443,5.981859111785889:00,,24/05/2022,05:44 AM
0,,7328,,2443,5.982177805900574:00,,24/05/2022,05:50 AM
0,,7328,,2443,5.952824719746908:00,,24/05/2022,05:56 AM
0,,7328,,2443,5.94741979042689:00,,24/05/2022,06:02 AM
0,,7328,,2443,5.947911389668783:00,,24/05/2022,06:08 AM
0,,7328,,2443,5.95309321085612:00,,24/05/2022,06:14 AM
0,,7328,,2443,5.940443805853525:00,,24/05/2022,06:20 AM
0,,7328,,2443,5.925338113307953:00,,24/05/2022,06:26 AM
0,,7328,,2443,5.956069827079773:00,,24/05/2022,06:32 AM
0,,7328,,2443,5.945694784323375:00,,24/05/2022,06:38 AM
0,,7328,,2443,5.922403601805369:00,,24/05/2022,06:44 AM
